Original Index,Title,Genre,Tags,Languages,Series or Movie,Runtime,Director,Writer,Actors,IMDb Score,Release Date,Summary
1536,Second Chance,"Drama, Sci-Fi","Dramas,Comedies,Indonesian Films",English,Movie,1-2 hour,,Rand Ravich,"Dilshad Vadsaria, Robert Kazinsky, Adhir Kalyan, Ciara Bravo",7.5,13 Jan 2016,"Two men meet and bond while finalizing their divorces. They eventually find new romantic pursuits, but realize that starting again isnt so easy."
1721,Joker,"Crime, Drama, Thriller","Social Issue Dramas,Psychological Thrillers,Dramas,Crime Dramas,Thriller Movies,Crime Thrillers,US Movies,Crime Movies,Oscar-Winning Films,Golden Globe Award-Winning Films",English,Movie,> 2 hrs,Todd Phillips,"Scott Silver, Jerry Robinson, Todd Phillips, Bob Kane, Bill Finger","Joaquin Phoenix, Zazie Beetz, Robert De Niro, Frances Conroy",8.4,04 Oct 2019,"In 1981 Gotham City, a struggling, mentally ill comic battles to be seen. His life takes a dark, gut-wrenching turn after he lashes back at attackers."
1763,Money,"Crime, Mystery, Thriller","Korean Movies,Thriller Movies,Movies Based on Books,Crime Thrillers","English, Spanish",Movie,1-2 hour,Martín Rosete,Josep Ciutat,"Jess Weixler, Kellan Lutz, Jesse Williams, Jamie Bamber",5.5,27 Jun 2017,"A fledgling stockbroker with dreams of getting rich despite being bad at his job accepts a shady proposal, catching the eye of a dogged investigator."
1850,The Call,"Crime, Drama, Horror, Thriller","Sci-Fi & Fantasy,African Films,Comedies,Fantasy,Nollywood Films",English,Movie,1-2 hour,Brad Anderson,"Richard D'Ovidio, Nicole D'Ovidio, Jon Bokenkamp","Morris Chestnut, Abigail Breslin, Michael Eklund, Halle Berry",6.7,15 Mar 2013,"Just as Woli is looking to make some quick cash to have a birthday celebration, he gets a call that has the potential to change his life."
1907,The Invisibles,"Biography, Drama, History, War","Movies Based on Real Life,Dramas,German Dramas,German Movies",German,Movie,1-2 hour,Claus Räfle,"Claus Räfle, Alejandra López","Ruby O. Fee, Max Mauff, Aaron Altaras, Alice Dwyer",7.1,26 Oct 2017,"In this docudrama set in 1943 Berlin, four Jewish young adults take harrowing risks to stay in their city and hide in plain sight from the Third Reich."
1963,First Love,"Action, Comedy, Crime, Romance","Teen Films,Romantic Comedies,Comedies,Romantic Films,Thai Comedies,Thai Films",Japanese,Movie,1-2 hour,Takashi Miike,Masa Nakamura,"Masayuki Deai, Mami Fujioka, Becky, Bengal",6.8,14 Feb 2020,"To win the heart of an aspiring dancer, an infatuated student with no training studies to become her partner for an upcoming ballroom competition."
2014,The Informer,"Action, Crime, Drama, Thriller","Dramas,Crime Dramas,Thrillers,Films Based on Books,Crime Thrillers,Gangster Films","English, Polish, Spanish",Movie,1-2 hour,Andrea Di Stefano,"Börge Hellström, Matt Cook, Andrea Di Stefano, Anders Roslund, Rowan Joffe","Karma Meyer, Ana de Armas, Joel Kinnaman, Mateusz Kosciukiewicz",6.6,30 Aug 2019,"Even after a drug bust goes wrong, an FBI informant is forced to continue his undercover work in prison to crack open an organized crime ring."
2106,Ordinary People,Drama,"Social Issue Dramas,Dramas,Independent Movies,Filipino Movies,International Dramas,Critically-acclaimed Independent Movies,Critically Acclaimed Films,Critically Acclaimed Dramas",English,Movie,1-2 hour,Robert Redford,"Alvin Sargent, Judith Guest","Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",7.7,19 Sep 1980,"Barely making a living as pickpockets, a teenage couple in Manila resort to desperate measures when their one-month-old child is kidnapped."
2118,Red,"Action, Comedy, Crime, Thriller","Romantic Dramas,Dramas,Romantic Movies,Movies Based on Books,Japanese Movies","English, Russian",Movie,> 2 hrs,Robert Schwentke,"Cully Hamner, Warren Ellis, Erich Hoeber, Jon Hoeber","Bruce Willis, Jefferson Brown, Mary-Louise Parker, Heidi von Palleske",7.0,15 Oct 2010,"After a chance reunion, a stay-at-home mother rekindles a passionate affair from her youth. But circumstances force her to make a difficult decision."
3153,Cats,"Comedy, Drama, Family, Fantasy, Musical","Children & Family Movies,Chinese Movies,Animal Tales",English,Movie,1-2 hour,Tom Hooper,"Tom Hooper, T.S. Eliot, Andrew Lloyd Webber, Lee Hall","Mette Towley, Jaih Betote, Robbie Fairchild, Daniela Norman",2.8,20 Dec 2019,"When his curious son sets out to find a feline paradise, Blanket, a nervous high-rise cat, braves the outdoor world to bring him home."
